timeStamp,value,fuelType
2024-03-01,0,Energy Storage
2024-04-01,0,Energy Storage
2024-05-01,0,Energy Storage
2024-06-01,0,Energy Storage
2024-07-01,0,Energy Storage
2024-08-01,0,Energy Storage
2022-01-01,50,Biomass & Other
2022-02-01,60,Biomass & Other
2022-03-01,50,Biomass & Other
2022-04-01,120,Biomass & Other
2022-05-01,120,Biomass & Other
2022-06-01,110,Biomass & Other
2022-07-01,100,Biomass & Other
2022-08-01,80,Biomass & Other
2022-09-01,70,Biomass & Other
2022-10-01,50,Biomass & Other
2022-11-01,50,Biomass & Other
2022-12-01,40,Biomass & Other
2023-01-01,40,Biomass & Other
2023-02-01,40,Biomass & Other
2023-03-01,40,Biomass & Other
2023-04-01,40,Biomass & Other
2023-05-01,30,Biomass & Other
2023-06-01,30,Biomass & Other
2023-07-01,30,Biomass & Other
2023-08-01,30,Biomass & Other
2023-09-01,50,Biomass & Other
2023-10-01,30,Biomass & Other
2023-11-01,30,Biomass & Other
2023-12-01,30,Biomass & Other
2024-01-01,30,Biomass & Other
2024-02-01,30,Biomass & Other
2024-03-01,30,Biomass & Other
2024-04-01,30,Biomass & Other
2024-05-01,30,Biomass & Other
2024-06-01,30,Biomass & Other
2024-07-01,30,Biomass & Other
2024-08-01,30,Biomass & Other
